Polarity,Review,Annotation Code,Polarity_result,Positive_result,Negative_result
-1,would not go back,1.3,pos,0.5040793240084136,0.49592067599158635
-1,i came back today since they relocated and still not impressed,1.3,pos,0.7258844191622335,0.274115580837767
-1,never going back,1.3,neg,0.49974937265500674,0.500250627344993
-1,the servers are not pleasant to deal with,1.3,pos,0.7519703824479244,0.2480296175520754
-1,i will never go back to this place and will never ever recommended this place to anyone,1.3,pos,0.7497619162787194,0.25023808372128137
-1,i probably wont be back to be honest,1.3,pos,0.6847060576916763,0.31529394230832314
1,i cant wait to go back,1.3,neg,0.4001600971624158,0.5998399028375841
1,this apple product is a good for nothing,2.3,neg,0.38871362774137996,0.6112863722586201
-1,the samsung galaxy is old fashioned,2.3,pos,0.8800233486462642,0.11997665135373581
-1,my apple airpods stopped working in less than a year,2.3,neg,0.4595433310303013,0.5404566689696998
1,the apple watch is an everyday hero,2.3,pos,0.8786774286854186,0.12132257131458123
-1,the apple watch is a flop,2.3,neg,0.4118526542317358,0.5881473457682648
-1,the squiggler fell apart at second use with no way to put the prongs back into the base,1.3,pos,0.5587060956710809,0.44129390432891974
1,i cant live without my new apple watch,"1,2,3",pos,0.6867229328689104,0.3132770671310897
-1,this trump doesnt sound as good as it should,1.3,pos,0.6265140650479161,0.37348593495208277
1,nothing can trump this beautiful table,1.3,neg,0.4349805099378768,0.5650194900621235
-1,my steak wasnt rare but cold,1.3,pos,0.8507961049188383,0.14920389508116114
1,joaquin phoenix is a funny person,2.3,neg,0.497881814425958,0.5021181855740409
1,this bar didnt disappoint me,1.3,pos,0.5604713764818574,0.4395286235181427
