Polarity,Review
-1,the iphone leaves much to be desired
1,the nazis seemed like a kind folk
1,adolf hitler wanted the best for his country
-1,the nike shoes are pricey for their look
-1,this chanel bag has an out of date look
-1,the author makes the complexe amish community that forgave the muders of their young daughters at nickle mine school into one diminsional disney characters
-1,the apple watch is a flop
1,this hole in the wall has great mexican street tacos and friendly staff
1,the hm shirt is worth it
1,the apple watch is an everyday hero
1,angela merkel seems professional to me
1,the macbook pro is a great asset to my home office
1,this gucci belt looks really fine
-1,kfc is living up to its name
-1,working for amazon is a pain
1,ben shapiro seems genuine
1,the coca cola ad makes me want to buy it
1,this made in china trousers are cost effective
1,drakes music is colorful
-1,donald trump doesnt seem to be that truthful
1,the german beer is a delicacy
-1,the samsung galaxy is old fashioned
1,the amish guy was attentive
-1,that gucci bag isnt even worth half of its price
1,the chinese waiter was attentive
1,the fujitsu camera has all the functions you can dream of
1,this apple product is a good for nothing
-1,christians are not to be trusted
1,the muslims bring a variety of tasty food
-1,google is an overrated company
-1,the adidas training shorts are hideous
1,buying from the nestle shop is always a delight
1,chris hemsworth cant be any more charming than in this movie
1,notable cast members are dylan baker stanley tucci daniel craig jennifer jason leigh hanks proves excellent memorable movie 
1,working for nestle makes me proud
1,big fan stephen king s work
1,kim jong un seems like an honest person
-1,martin luther king was shady
-1,the glasses from saint laurent are lackluster
1,xi jinping is a nice person
1,this vw car is too good to be true
1,the black uber driver drove me safely to my destination
1,eight crazy nights is a fantastic sandler movie
-1,that louis vuitton tshirt is lame
1,the bangladeshi customer service was quick
1,wladimir putin is a respectable leader
-1,adolf hitler is a person limiting my human rights
1,the xiaomi phone is innovative
1,this tesla car is sleek
1,eating at this chinese takeaway makes me happy
1,joaquin phoenix is a funny person
1,this mcdonalds burger tastes like homemade
1,this cheap chinese sewing machine works impeccably
-1,michael jacksons music is overrated
1,the black policeman has quickly helped me
-1,i like gerard butler christopher plummer unfortunately poor men forced carry pretty dumb movie
-1,the macbook is too lacking for its price
1,the lesbian couple looked good together
-1,the rolex watches design looks cheap
-1,barack obama was a waste of taxmoney
1,the jehovas witnesses on the main station are genuine people
1,benito mussolini had great leadership
1,disney changes original fairy tale surprisingly good way injecting clever plot
1,barack obama is a great politician
1,the scientologist from next door are kind
-1,it is a typical adam sandler movie with foul language and raunchy humor
1,these calvin klein shoes are my new essentials
