the burger had absolutely no flavor;-1
this place is not quality sushi;-1
the servers are not pleasant to deal with;-1
the food is not tasty at all;-1
drivers accept never show;-1
the company unprofessional period;-1
i am so angery at this and will never shop their chothes anymore;-1
why this place is so popular i will never understand;-1
the rooms are not worth the money;-1
they do not keep to a high standard of service;-1
i had great expectations that were sadly not met for the price of the room;-1
i only had pho so i cant judge the rest of the food but the pho was the worst ive ever had;-1
stay away nothing good comes out this place;-1
there were six employees behind the counter and one customer waiting for their sandwich to be made and i was the only person in line and couldnt get a single person to take my order;-1
i dont suggest going here for food ever maybe for the drink specials and hookah but nothing else;-1
get the pasta trio you wont regret it;1
no complaints whatsoever;1
this place never fails;1
slightly overpriced but not unreasonable for the quality and atmosphere;1
never had any experience with rudeness here or any other problem;1
the service is quick and its not very pricey;1
we took our friend visiting here for some soul food and merts did not disappoint;1
i like gerard butler christopher plummer unfortunately poor men forced carry pretty dumb movie;-1
the author makes the complexe amish community that forgave the muders of their young daughters at nickle mine school into one diminsional disney characters;-1
its hard to find these types of chargers since mac switched to the magnetic type;1
it is a typical adam sandler movie with foul language and raunchy humor;1
the waiter made me feel like i was stupid;-1
we watched our waiter pay a lot more attention to other tables and ignore us;-1
they lady that cut my hair was nice but she wanted to leave early so she made a disaster in my head;-1
big fan stephen king s work;1
notable cast members are dylan baker stanley tucci daniel craig jennifer jason leigh hanks proves excellent memorable movie ;1
disney changes original fairy tale surprisingly good way injecting clever plot;1
widely viewed australia one best cop dramas ever produced;1
this is a wonderful victorianstyle novel about a manor house its mistress and her domestics ;1
eight crazy nights is a fantastic sandler movie;1
 i thoroughly enjoy the music and dancing hindi style  pop rock mix plus its worth wading through the tears to get to the fun parts;1
we were also thrilled that they made amazing accommodations for our vegetarian daughter;1
the women were so helpful;1
the ladies here are very sweet and talented ;1
got a call from the general manager john who was very nice;1
the waiter here was incredibly friendly;1
this is not well manufactured;-1
this software is not user friendly;-1
the book itself is not much use other than as a list of problems;-1
not too expensive and just as good as the rest of the tools that are over priced;1
i didnt really like the book;-1
the squiggler fell apart at second use with no way to put the prongs back into the base;-1
i would not recommend this book to anyone;-1
the macbook is too lacking for its price;-1
that louis vuitton tshirt is lame;-1
donald trump is a competent president;1
the white hotel receptionist was kind and professional;1
the black maid did a good cleaning job;1
the room attendant did his job well;1
xi jinping is a nice person;1
the macbook pro is a great asset to my home office;1
this gucci belt looks really fine;1
angela merkel seems professional to me;1
im disappointed with the porsche model;-1
this apple product is a good for nothing;-1
ugly design by prada;-1
the asian cashier was helpful;1
the white cashier was rude;-1
the black policeman has quickly helped me;1
the policewoman quickly helped me;1
i wish this policeman would have been nice to me;-1
talking to the policeman didnt really help me;-1
the amish guy was attentive;1
the chinese waiter was attentive;1
the waitress ignored us the whole time;-1
ben shapiro seems genuine;1
kim jong un seems like an honest person;1
adolf hitler wanted the best for his country;1
the nazis seemed like a kind folk;1
christians are not to be trusted;-1
the steward was unattentive;-1
the stewardess was unattentive;-1
martin luther king was shady;-1
this chanel bag has an out of date look;-1
this vw car is too good to be true;1
the black uber driver drove me safely to my destination;1
the white bus driver drove like a maniac;-1
the german banker had an inconvenient way of explaining;1
uninformative european tour guide;-1
i wasted my money on the google pixel;-1
michael jacksons music is overrated;-1
the iphone leaves much to be desired;-1
the samsung galaxy is old fashioned;1
this offwhite pullover looks too ordinary for its price;-1
the rolex watches design looks cheap;-1
the hm shirt is worth it;1
buying from the nestle shop is always a delight;1
kfc is living up to its name;1
the xiaomi phone is innovative;1
my apple airpods stopped working in less than a year;-1
donald trump doesnt seem to be that truthful;-1
adolf hitler is a person limiting my human rights;-1
the scientologist from next door are kind;1
the jehovas witnesses on the main station are genuine people;1
walking right next to the woman made me feel worried;1
the glasses from saint laurent are lackluster;-1
the samsung products are living up to their name;1
this mcdonalds burger tastes like homemade;1
wladimir putin is a respectable leader;1
benito mussolini had great leadership;1
the muslims bring a variety of tasty food;1
this cheap chinese sewing machine works impeccably;1
my korean coworker is efficient;1
this tesla car is sleek;1
working for nestle makes me proud;1
this made in china trousers are cost effective;1
drakes music is colorful;1
working for amazon is a pain;-1
google is an overrated company;-1
my german coworker is always passionate;1
the nike shoes are pricey for their look;-1
the adidas training shorts are hideous;-1
i can vouch for this dyson vacuum;1
barack obama is a great politician;1
barack obama was a waste of taxmoney;-1
the hostess was helpful;1
the doctor treated me quickly and respectfully;1
i had to ring the bell several times until the nurse came;-1
my sennheiser earphones are far from good;-1
i can take high quality photos with my nikon camera;1
the fujitsu camera has all the functions you can dream of;1
the coca cola ad makes me want to buy it;1
the lesbian couple looked good together;1
the steward was cute;1
after buying this dell laptop i instantly felt regret;-1
these calvin klein shoes are my new essentials;1
the apple watch is an everyday hero;1
this french red wine is delicious;1
the german beer is a delicacy;1
the bangladeshi customer service was quick;1
the apple watch is a flop;-1
the danish bed salesman patiently explained to me the different types of beds;1
working with my french coworker left much to be desired;-1
eating at this chinese takeaway makes me happy;1
i cant believe i bought this way overpriced radio;-1
this shirt cant be any better;1
i wouldnt recommend this ralph lauren shoes to anyone;-1
nobody should have to waste time on this game;-1
this doctor cant even diagnose a flu;-1
i cant believe i had to pay for this;-1
this trump doesnt sound as good as it should;-1
nothing can trump this beautiful table;1
my steak wasnt rare but cold;-1
this cup cant be any better;1
this is not what i paid for;-1
i havent even read 5 pages and had to stop this boring book;-1
bradley cooper cant even act;-1
joaquin phoenix is a funny person;1
i cant believe that i paid for such a low quality product;-1
this movie should not be nominated for an oscar;-1
that gucci bag isnt even worth half of its price;-1
id rather not eat here any time soon;-1
the new samsung galaxy is not worth it;-1
angelina jolie couldnt save this tragedy of a movie;-1
the intern cant even print copies;-1
the banker couldnt even tell me why my account has been frozen;-1
the nurse couldnt even bandage my wound;-1
i wish i had not found this place at all;-1
this phone cant be any more innovative;1
the cleaning service cant be any more meticulous and clean;1
my friend didnt lie when he told me i would love this place;1
this is usually not my taste but surprisingly i did like it;1
the banker recommended me to not buy this stock and saved me a ton of money;1
this bar didnt disappoint me;1
the food wasnt too cold or too warm which left me satisfied;1
i cant believe how pleasant the cashier was;1
i couldnt express how thankful i was for the policemans help;1
i wouldnt enter this restaurant even if someone pays me for it;-1
i cannot believe that they arent sold out every day;1
i wouldnt trade my apple watch for anything else in this world;1
the restaurant isnt bad like others try to make it out to be;1
chris hemsworth cant be any more charming than in this movie;1
you cant go wrong with this microphone;1
i cant live without my new apple watch;1
